participant__session__code,participant__session_id,participant__id_in_session,participant__code,channel,nickname,body,timestamp
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,But 50 - 50,1492669682.58618
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Can we answer e?,1492669692.93232
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Sure,1492669697.8674
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,shall we try u then?,1492669699.12785
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Ok,1492669702.33671
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Let's do that then,1492669705.59768
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,okay e er fint,1492669708.96773
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"Okay, i really don't know",1492669712.27935
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,okay,1492669718.74669
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,did you press e?,1492669721.52625
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,me neither but maybe e?,1492669723.70204
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,try that,1492669728.24115
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,It could be E as well. I was really in doubt.,1492669734.68409
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,I hear every fucking one as o...,1492669740.22558
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Maybe we should just say E?,1492669742.6362
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,mm,1492669755.86062
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,uhmm,1492669760.20735
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,not sure,1492669766.17045
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,is hard ,1492669771.1997
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,perhaps o?,1492669771.40982
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,yeah,1492669773.71148
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,Think so,1492669776.05029
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,Let's go :),1492669779.11056
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,mhm,1492669781.36273
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,I got it as o again,1492669793.80339
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,hehe :),1492669800.76158
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,o,1492669801.21038
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,No idea here,1492669801.45106
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,agree?,1492669806.15276
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,I feel like it was definetly a u or an o,1492669807.87902
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,same,1492669809.1572
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,I think it sounded øh ish this time,1492669810.59534
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,was a bit like e as well,1492669812.02604
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,We can go for E,1492669815.80563
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,myeah. ,1492669817.81203
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,can go for o tho,1492669818.45132
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Lets try e,1492669820.20745
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,I will put it in,1492669820.5799
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,will,1492669821.76616
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,ok,1492669822.77314
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"yeah, like a goat",1492669823.08148
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,but I  think that was maybe the e sound,1492669823.24467
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,I just felt like it was closer to an y an therefor i thought u,1492669824.75228
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,not sure though,1492669834.9315
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,try e?,1492669838.52442
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"okay, let's go with u then",1492669838.84774
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,ok,1492669844.40528
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,seems like you are always right ;) ,1492669853.32516
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,i thought i as well,1492669867.52403
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"Yes, you are right",1492669867.78743
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"Haha, that will prove wrong soon, I guess ;) ",1492669868.72038
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,for me it was a 50/50 ,1492669869.31063
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,oh,1492669870.46895
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,i r u,1492669872.17079
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,go for i?,1492669876.79623
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Ok let's try,1492669877.34227
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,between o and u,1492669878.62226
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"that was u, i think",1492669879.27845
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,or* u,1492669879.29946
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,I thought O or U ...,1492669880.18839
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,yeah,1492669880.54538
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,pretty sure its i,1492669881.18234
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"But yeah, a little in doubt, but more against the U than O",1492669882.56088
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,okay,1492669883.81782
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,lets try that,1492669886.09215
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,O?,1492669891.763
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,"I dont know, I feel like its all the same :D",1492669896.31953
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,a we even getting the same vowel? ,1492669896.76646
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"We can try that, I guess. it was hard.",1492669904.01931
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,lets go with u,1492669907.91274
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,I think so but it is just very hard to hear,1492669912.0209
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Ok,1492669912.05792
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,lets do that,1492669915.43782
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,sounded like o?,1492669918.72182
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,I can only press 'we reached a joint decision,1492669918.80089
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,I'm not really sure which one ,1492669931.74255
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,somewhere between,1492669933.58937
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,hmm,1492669937.4014
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Me neither,1492669938.33819
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,"yes I have the vowels, I said u",1492669938.62649
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,o ,1492669940.3247
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Same as before...,1492669941.39625
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,go for it,1492669941.64037
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,okay dude,1492669946.30187
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Maybe O was actually more prominent,1492669953.5097
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"It sounded a bit like an ""ohhh"" again to me",1492669954.12227
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,guess we were both wrong last time ,1492669959.12893
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,dont know about this,1492669962.7861
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Okay let's go with that,1492669963.3622
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"Or an ""ahh""",1492669967.34403
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Yeha! ,1492669968.02398
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,I think U again,1492669968.9009
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,but was think it was O too,1492669973.14259
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"okay, so you were right on the last one",1492669973.62879
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,But with an o-sound,1492669974.18144
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Yeah.,1492669976.98954
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,But lets go with O then!,1492669981.52798
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,yes - this one though i have no idea,1492669985.1388
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,yea,1492669986.25808
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,ok,1492669988.26188
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"okay, can we go with e?",1492670002.34454
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,o again then,1492670006.27869
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,yep,1492670007.06313
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,just the e is so,1492670009.92507
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Argh this is too hard,1492670009.97654
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,open,1492670012.02073
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,dude,1492670017.16592
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,"yeah, it is",1492670019.12447
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,they all sound messed up,1492670020.1459
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,I think this was o,1492670023.90161
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,ill go for o then,1492670025.28779
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,it could also have been I ,1492670025.60429
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,We are now gonna answer the same!,1492670027.53589
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,go,1492670031.58912
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,I am leaning more towards I.,1492670032.80743
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Ok,1492670036.86119
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,lets go for I ,1492670039.60805
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Should we try with I?,1492670040.108
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,To me it sounded like the one 2 times back,1492670042.27591
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,yes,1492670046.09897
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,heh,1492670046.24161
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"To me, this sounded different than the previous e",1492670047.97014
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"okay, the last one was e",1492670048.56865
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,mm,1492670049.97826
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,on the borderline between them,1492670055.27556
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,But you could deff be right,1492670061.32025
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,first impression was i but i am open for o?,1492670061.46436
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,this one i think is o,1492670061.77375
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,whoops,1492670064.30741
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,pressed e,1492670066.26132
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,well,1492670068.34976
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,ok o,1492670070.15723
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,can't undo,1492670071.01797
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,cool,1492670071.11705
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,let's do e...,1492670076.54056
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,It might be. I think it is either e or i,1492670080.0944
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,okay,1492670081.20168
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Let's go with e ,1492670082.0489
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,think it's u,1492670096.74127
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,how sure are you? (70% sure),1492670099.09836
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Go for U. I don't think what I answered is correct,1492670100.45727
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Dont know,1492670101.83749
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,will do ,1492670110.42574
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Lets try e,1492670110.83658
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,I think it was that øh sound again?,1492670111.29255
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,not sure,1492670111.9807
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,ok,1492670114.77676
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,sounds more closed together than the o,1492670118.36427
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,i figured out who u are im distracted now,1492670121.96357
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,This was 50/50 to me,1492670124.82805
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,because the o is ouhy,1492670129.89645
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,yes,1492670130.53618
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,iluskala,1492670131.93565
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,i know,1492670133.95202
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"yeah, do you remember if we got that one right?",1492670134.38705
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Okay let's go with e then. I'm pretty unsure,1492670137.74855
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,I am 50-50,1492670138.80884
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,did too,1492670139.18812
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,last time yes,1492670141.88391
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,How about you?,1492670144.89519
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,then it is e,1492670148.58159
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,we go on ,1492670153.4155
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,malte says,1492670156.94126
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,´50/50 as well (actually leading toward the e now) ,1492670158.24112
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,lets try,1492670159.62218
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,well,1492670163.19195
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,"cant remember the sound tho, go for u?",1492670169.11974
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,I stick to e I think,1492670170.95111
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,STill think it's u :) ,1492670171.02315
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,hehe ^^,1492670172.99293
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,Let's rock,1492670175.93671
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,go ahead,1492670176.92216
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"Hmm, I think it started out as an E sound and then got distorted in the end. Maybe we should try E then?",1492670180.47415
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,lets do that,1492670191.23301
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,(Y),1492670194.39001
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,hmm,1492670195.23796
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,u,1492670196.5394
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,I think this was an o ,1492670197.78304
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Let's try it,1492670205.67867
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,think o,1492670215.32579
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,o or u but not sure,1492670216.09968
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,I am not at all sure ,1492670218.48343
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,agree,1492670219.10881
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,i or u,1492670223.4889
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,"yeah, was considering u or o",1492670225.02653
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,must be one of them,1492670229.97826
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,so we lets try u,1492670231.33535
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,cool,1492670236.32428
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,60/40,1492670237.70916
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,lets try o,1492670239.07474
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,I do not think I am able to seperate them anymore,1492670240.51671
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,ok,1492670241.57709
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Let's do o,1492670250.92292
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Me neither. I feel like this was an o,1492670252.68658
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,I think this sound was a little bit different from before. But maybe that is just part of the game. Let us try E.,1492670256.69995
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,wow,1492670258.9013
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,e then?,1492670264.37115
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,yep i or u,1492670264.45958
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,I think it was the same again,1492670264.81021
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,(y),1492670264.8495
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,"okay, last one must have been an i",1492670268.47009
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,can go,1492670270.78918
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,let us try i,1492670272.1759
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,try?,1492670274.11242
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,But I think u actually,1492670274.22201
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,wouldn't mind,1492670274.35712
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,me too,1492670279.82402
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,I thought e in the beginning. Let's go with that,1492670286.91587
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,OK,1492670291.42482
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,I think you are right. Not very sure about my decision,1492670293.92048
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,(y),1492670300.82188
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,hmm,1492670301.92541
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,this is hard,1492670306.90243
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,i was sure about i on the last one. yea,1492670317.95081
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,tohught it could be e,1492670319.9215
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,mmm,1492670323.02666
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,let's do u,1492670325.01775
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,same as before. But closer to I,1492670326.37409
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,was uncertain anyways,1492670329.3188
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,we can try u,1492670330.78804
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,"oh god, when I start to feel like Im getting better, it just all goes south.. :D",1492670332.20134
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,me too tho,1492670333.38574
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,i don't think this was the øh sound,1492670339.18324
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,This sounded the same to me,1492670341.08265
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,diceroll?,1492670343.63516
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,ok,1492670345.47978
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,I think it was different from the previous ones,1492670347.28195
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,how sure?,1492670349.59943
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,mhm,1492670350.83086
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,60-40. But not sure.,1492670353.19517
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,yup u it is,1492670353.44726
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,You?,1492670355.15426
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Yeah I thought this would be easier,1492670355.57251
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,"ok, i it is",1492670355.5785
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,or go for e?,1492670355.93621
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,ok o then,1492670357.57392
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,"Okay, I feel you",1492670357.87036
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,nononon,1492670360.5636
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,perhaps,1492670361.6504
je0942iu,2,5,tu1z12uj,2-confidence_audio-3,A,Let's do e,1492670362.65776
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,rolled an invisible die,1492670366.24435
je0942iu,2,6,i73tumgv,2-confidence_audio-3,B,Ok,1492670367.00189
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,o,1492670369.43217
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,for o?,1492670369.98532
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,55-45 lets go for i,1492670371.38446
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,okay,1492670372.34773
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Cool,1492670376.43776
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,if its ok I just quickly want to hear the sounds again,1492670386.3931
je0942iu,2,18,2yx71as8,2-confidence_audio-9,B,maybe we are getting closer,1492670387.85401
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,..so we meet again,1492670391.51111
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,though it osunded a bit more ooh,1492670392.59928
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,...,1492670394.36171
je0942iu,2,16,xy33r4v1,2-confidence_audio-8,B,expected this,1492670398.42562
je0942iu,2,11,u94orwde,2-confidence_audio-6,A,70-30,1492670399.02097
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,............................,1492670400.64438
je0942iu,2,13,2sraso81,2-confidence_audio-7,A,here we go again..,1492670401.49805
je0942iu,2,15,nxjnaz7x,2-confidence_audio-8,A,o,1492670402.41525
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Awesome that we are put into the chatroom when we are both wrong! :P ,1492670408.88463
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,"But yes, lets go for U!",1492670412.97541
je0942iu,2,17,wi3yxq10,2-confidence_audio-9,A,press instructions?,1492670413.04657
je0942iu,2,14,jetfb5kc,2-confidence_audio-7,B,Can't remember it,1492670417.45171
je0942iu,2,12,u9ejo4df,2-confidence_audio-6,B,Pretty sure that is more correct.,1492670420.05335
